Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,new_obj,0.7268714904785156,"[0.         0.         0.         5.         0.24371006 0.
 5.         0.         0.         0.         0.         0.
 0.07113171 0.         0.         0.         0.         0.        ]",28.77,27.65,19.52,10.18,5.4799999999999995,5.279999999999999,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85
PSO,new_obj,0.6931281089782715,"[0.         0.         0.         0.         5.         0.
 0.         0.         0.         0.         0.01543294 0.
 5.         0.23759348 0.         0.         0.         0.        ]",28.93,23.549999999999997,16.48,9.1,4.51,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004
PSO,new_obj,0.719313383102417,"[0.         0.         0.         0.01548042 4.83926703 0.
 0.         0.         0.         0.         0.         0.
 5.         0.         0.         0.         0.         0.        ]",34.010000000000005,24.279999999999998,18.450000000000003,14.229999999999999,9.32,4.75,3.1799999999999997,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.71,2.71,2.5700000000000003,2.5700000000000003,2.4299999999999997,2.4299999999999997,2.29,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004
PSO,new_obj,0.6971702575683594,[0. 0. 0. 5. 0. 0. 0. 0. 0. 0. 0. 0. 5. 0. 0. 0. 0. 0.],35.599999999999994,28.810000000000002,25.87,19.340000000000003,11.77,5.85,4.08,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996
PSO,new_obj,0.7125406265258789,"[0.         0.         0.         0.         0.         0.
 0.         4.65022647 0.         0.         0.         0.
 0.         0.         0.         0.         5.         0.        ]",25.779999999999998,16.96,9.559999999999999,8.370000000000001,6.76,6.29,5.93,5.93,5.93,5.57,5.21,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85
PSO,new_obj,0.738288164138794,"[0.         0.         0.         0.         5.         0.
 4.73494474 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",31.259999999999998,23.349999999999998,17.96,14.97,8.959999999999999,7.17,5.989999999999999,5.0,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15
PSO,new_obj,0.7270321846008301,"[5.         0.         0.         0.         0.         0.
 0.         5.         0.20797957 0.49212067 0.         0.
 0.         0.         0.         0.         0.         0.        ]",30.71,26.750000000000004,21.78,17.36,14.7,13.56,12.42,11.28,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
PSO,new_obj,0.7773189544677734,"[0.         0.         0.         0.         0.         0.
 0.11112484 0.         0.         0.         0.         0.
 0.         0.         0.         0.         5.         5.        ]",36.209999999999994,27.77,23.0,20.810000000000002,17.71,16.74,14.209999999999999,10.28,7.91,5.72,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
PSO,new_obj,0.6582033634185791,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 5. 0. 0. 0. 0. 5.],30.82,20.58,14.770000000000001,9.719999999999999,7.84,6.539999999999999,5.32,5.32,4.970000000000001,3.8899999999999997,3.5100000000000002,3.13,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
PSO,new_obj,0.511361837387085,"[0.        0.        0.        0.        0.        0.        0.
 5.        0.        0.        0.        0.        0.4945261 0.
 0.        0.        5.        0.       ]",28.859999999999996,21.889999999999997,9.5,7.02,5.35,5.25,5.25,5.25,5.1499999999999995,5.05,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85
